Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_en_largo_completados_E1,Libres_directos_sacados_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Balones_recuperados_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Balones_blocados_por arriba_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Faltas_cometidas_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_en_largo_completados_E2,Libres_directos_sacados_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Balones_recuperados_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Balones_blocados_por arriba_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Faltas_cometidas_E2,media11_titular_E1,media11_titular_E2
PL-2024-25-12436888,Jornada 2,2024-08-24,Brighton,1,Man United,2,1,2.0,0.0,14,5,6,3,1,0.0,4.0,2.0,4,0.0,10,52,33,48,85.3,407,477,30,13,50.0,6,12,7,17,12,5,10,1,0.0,0,2.0,2.0,0.0,1.0,9,1.0,0.0,11,4,5,2,0,1.0,2.0,2.0,4,6.0,10,44,28,52,87.3,446,511,24,8,25.0,3,12,12,19,11,8,10,2,0.0,0,2.0,0.0,1.0,2.0,13,7.14,6.97
PL-2024-25-12436892,Jornada 2,2024-08-24,Crystal Palace,1,West Ham,0,2,0.0,0.0,14,2,8,4,2,1.0,5.0,2.0,3,3.0,3,77,23,58,82.2,454,552,30,16,20.0,4,20,9,23,11,12,9,2,0.0,0,1.0,0.0,,1.0,9,2.0,0.0,18,3,10,5,0,0.0,5.0,1.0,3,2.0,14,57,21,42,76.8,302,393,31,9,28.6,4,14,15,20,12,8,25,0,0.0,1,2.0,1.0,,1.0,17,6.75,7.21
PL-2024-25-12436894,Jornada 2,2024-08-24,Fulham,1,Leicester,2,1,2.0,0.0,18,6,7,5,0,0.0,5.0,3.0,7,0.0,4,66,31,54,85.3,459,538,25,12,33.3,7,21,8,14,10,4,7,1,0.0,0,3.0,1.0,1.0,2.0,14,1.0,0.0,10,4,4,2,0,2.0,2.0,1.0,5,5.0,7,37,10,46,83.9,381,454,17,14,41.7,5,12,7,21,14,7,30,2,0.0,0,4.0,2.0,0.0,2.0,13,7.24,6.95
PL-2024-25-12436898,Jornada 2,2024-08-24,Man City,1,Ipswich,4,1,2.0,2.0,14,5,6,3,2,0.0,3.0,5.0,10,3.0,11,72,49,75,92.7,700,755,22,15,29.4,5,17,6,14,6,8,8,1,0.0,0,0.0,,,2.0,4,0.0,1.0,1,1,0,0,0,0.0,0.0,1.0,1,1.0,2,21,6,25,81.6,200,245,10,3,16.7,1,6,10,17,8,9,40,4,0.0,0,1.0,,,3.0,15,7.65,6.13
PL-2024-25-12436900,Jornada 2,2024-08-24,Southampton,1,Nottm Forest,0,1,0.0,0.0,5,1,1,3,0,1.0,2.0,0.0,4,0.0,7,45,21,65,90.9,596,656,11,13,14.3,2,14,2,18,12,6,17,1,0.0,0,7.0,1.0,,3.0,14,1.0,0.0,23,8,8,7,0,2.0,7.0,6.0,10,1.0,7,40,33,35,83.5,294,352,25,14,26.3,5,19,11,24,15,9,23,0,0.0,1,1.0,2.0,,3.0,14,6.83,7.3
PL-2024-25-12436902,Jornada 2,2024-08-24,Tottenham,1,Everton,4,0,3.0,1.0,13,7,5,1,0,1.0,2.0,6.0,12,0.0,7,51,33,71,88.7,540,609,19,15,30.0,6,20,4,22,16,6,11,0,0.0,1,1.0,1.0,0.0,,11,0.0,0.0,10,1,3,6,0,0.0,0.0,0.0,5,4.0,5,44,24,29,74.9,188,251,25,11,46.7,7,15,15,29,19,10,15,4,0.0,0,3.0,0.0,1.0,,15,7.56,6.54
PL-2024-25-12436886,Jornada 2,2024-08-24,Aston Villa,1,Arsenal,0,2,0.0,0.0,11,3,3,5,1,0.0,4.0,2.0,4,3.0,11,28,17,39,82.4,271,329,16,16,30.0,3,10,4,22,10,12,16,2,0.0,0,2.0,1.0,0.0,1.0,8,1.0,1.0,9,4,4,1,0,0.0,3.0,2.0,1,1.0,6,48,35,61,91.2,469,514,18,8,7.7,1,13,8,17,9,8,15,0,0.0,1,3.0,0.0,1.0,3.0,16,6.66,7.15
PL-2024-25-12436884,Jornada 2,2024-08-25,Bournemouth,1,Newcastle,1,1,1.0,0.0,16,4,7,5,1,1.0,4.0,2.0,8,,2,60,27,39,76.3,245,321,27,8,21.1,4,19,6,21,16,5,34,1,0.0,0,4.0,1.0,0.0,2.0,20,1.0,0.0,14,5,4,5,0,1.0,1.0,4.0,9,,6,58,32,61,79.4,393,495,24,19,30.8,8,26,4,21,12,9,17,1,0.0,0,3.0,1.0,3.0,2.0,8,7.1,6.91
PL-2024-25-12436904,Jornada 2,2024-08-25,Wolves,1,Chelsea,2,6,2.0,0.0,12,4,6,2,2,2.0,2.0,5.0,5,3.0,8,34,25,40,79.1,253,320,17,13,7.7,1,13,9,19,10,9,19,6,0.0,0,2.0,0.0,,2.0,13,5.0,1.0,14,8,3,3,1,0.0,3.0,5.0,5,1.0,9,41,21,60,86.1,426,495,23,13,9.1,1,11,9,14,11,3,18,2,0.0,0,2.0,2.0,,3.0,13,6.42,7.27
PL-2024-25-12436896,Jornada 2,2024-08-25,Liverpool,1,Brentford,2,0,2.0,0.0,19,8,4,7,2,0.0,2.0,4.0,9,1.0,8,62,42,62,91.4,550,602,22,7,20.0,3,15,7,17,10,7,11,0,0.0,1,2.0,,1.0,2.0,10,0.0,0.0,8,2,3,3,0,1.0,3.0,2.0,4,2.0,6,36,10,38,81.9,298,364,25,10,40.0,4,10,5,10,6,4,16,2,0.0,0,6.0,,1.0,3.0,7,7.6,6.75
