Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-AFCON-2023-11761871,Ronda 1,2024-01-13,Costa de Marfil,1,Guinea,2,0,,,10,4,3,3,1,,,,,,,,,,0,6,2.0,10,57,,,61,87.8,498,567,,,23,,,,11,,,,25.0,3,12,,7,,,12,9,3,,5,0,,1,3.0,,,,,,,,2.0,,10,,,,,10,3,7,0,0,,,,,,,,,,1,2,1.0,5,31,,,39,82.4,294,357,,,9,,,,9,,,,33.3,3,9,,9,,,17,11,6,,14,2,,0,2.0,,,,,,,,1.0,,11,,,7.21,6.59,AFCON,CAF,CAF
SEL-AFCON-2023-11761872,Ronda 1,2024-01-14,Nigeria,1,Guinea Ecuatorial,1,1,,,19,7,8,4,1,,,,,,,,,,7,2,3.0,5,45,,,51,77.5,262,338,,,17,,,,11,,,,33.3,8,24,,7,,,10,7,3,,9,1,,0,0.0,,,,,,,,1.0,,13,,,,,7,1,5,1,0,,,,,,,,,,0,3,2.0,1,48,,,49,76.3,254,333,,,21,,,,12,,,,14.3,2,14,,7,,,10,6,4,,23,1,,0,6.0,,,,,,,,2.0,,11,,,6.9,6.99,AFCON,CAF,CAF
SEL-AFCON-2023-11761873,Ronda 1,2024-01-14,Egipto,1,Mozambique,2,2,,,21,5,10,6,2,,,,,,,,,,2,7,0.0,11,58,,,61,91.3,473,518,,,21,,,,9,,,,20.5,9,44,,10,,,14,7,7,,10,2,,0,0.0,,,,,,,,1.0,,9,,,,,6,2,4,0,0,,,,,,,,,,2,2,1.0,8,35,,,39,84.0,283,337,,,20,,,,8,,,,33.3,5,15,,11,,,10,8,2,,39,2,,0,3.0,,,,,,,,3.0,,9,,,7.07,6.77,AFCON,CAF,CAF
SEL-AFCON-2023-11761874,Ronda 1,2024-01-14,Ghana,1,Cabo Verde,1,2,,,10,1,6,3,1,,,,,,,,,,3,2,3.0,9,44,,,47,81.5,277,340,,,11,,,,15,,,,41.7,5,12,,8,,,21,13,8,,14,2,,0,3.0,,,,,,,,3.0,,17,,,,,15,5,3,7,0,,,,,,,,,,3,5,3.0,12,46,,,53,81.4,319,392,,,34,,,,17,,,,22.2,2,9,,6,,,20,10,10,,8,1,,0,0.0,,,,,,,,3.0,,15,,,6.74,6.8,AFCON,CAF,CAF
SEL-AFCON-2023-11761875,Ronda 1,2024-01-15,Senegal,1,Gambia,3,0,,,14,6,4,4,0,,,,,,,,,,5,6,1.0,10,65,,,69,87.8,482,549,,,28,,,,14,,,,25.0,4,16,,4,,,19,14,5,,12,0,,1,2.0,,,,,,,,2.0,0.0,17,,,,,12,2,8,2,0,,,,,,,,,,3,4,1.0,6,47,,,31,74.3,185,249,,,22,,,,15,,,,75.0,6,8,,6,,,12,10,2,,28,3,,0,3.0,,,,,,,,0.0,1.0,14,,,7.17,6.41,AFCON,CAF,Desconocido
SEL-AFCON-2023-11761876,Ronda 1,2024-01-15,Camerún,1,Guinea,1,1,,,13,2,6,5,0,,,,,,,,,,2,5,1.0,6,58,,,70,84.3,377,447,,,15,,,,14,,,,30.6,11,36,,4,,,8,6,2,,6,1,,0,1.0,,,,,,,,2.0,0.0,14,,,,,6,2,3,1,0,,,,,,,,,,1,0,0.0,3,42,,,30,59.3,121,204,,,18,,,,14,,,,16.7,1,6,,8,,,11,9,2,,22,1,,0,1.0,,,,,,,,1.0,1.0,14,,,6.96,6.74,AFCON,CAF,CAF
SEL-AFCON-2023-11761877,Ronda 1,2024-01-15,Argelia,1,Angola,1,1,,,16,3,7,6,0,,,,,,,,,,1,14,4.0,5,61,,,66,86.0,442,514,,,32,,,,15,,,,16.1,5,31,,3,,,16,9,7,,9,1,,0,0.0,,,,,,,,4.0,,11,,,,,7,1,5,1,0,,,,,,,,,,2,2,0.0,2,34,,,34,72.5,190,262,,,19,,,,11,,,,25.0,3,12,,8,,,9,4,5,,29,1,,0,2.0,,,,,,,,1.0,,16,,,7.05,6.72,AFCON,CAF,CAF
SEL-AFCON-2023-11761878,Ronda 1,2024-01-16,Burkina Faso,1,Mauritania,1,0,,,11,5,4,2,0,,,,,,,,,,1,3,2.0,4,62,,,62,82.4,332,403,,,22,,,,12,,,,5.9,1,17,,7,,,15,5,10,,11,0,,1,4.0,,,,,,,,3.0,,21,,,,,9,4,5,0,0,,,,,,,,,,0,4,1.0,12,42,,,38,68.5,165,241,,,17,,,,19,,,,20.0,3,15,,10,,,23,14,9,,22,1,,0,4.0,,,,,,,,2.0,,13,,,6.92,6.97,AFCON,CAF,Desconocido
SEL-AFCON-2023-11761879,Ronda 1,2024-01-16,Túnez,1,Namibia,0,1,,,10,4,4,2,0,,,,,,,,,,2,8,4.0,10,55,,,61,76.5,339,443,,,25,,,,10,,,,38.9,7,18,,8,,,17,10,7,,30,1,,0,3.0,,,,,,,,,,12,,,,,13,6,4,3,0,,,,,,,,,,3,7,2.0,5,65,,,39,70.7,191,270,,,17,,,,12,,,,19.0,4,21,,15,,,10,5,5,,17,0,,1,4.0,,,,,,,,,,13,,,7.11,6.98,AFCON,CAF,CAF
SEL-AFCON-2023-11761880,Ronda 1,2024-01-16,Mali,1,Sudáfrica,2,0,,,16,7,6,3,1,,,,,,,,,,4,2,0.0,5,51,,,46,78.6,316,402,,,24,,,,11,,,,40.0,4,10,,14,,,32,20,12,,12,0,,1,6.0,,,,,,,,3.0,,14,,,,,12,6,5,1,1,,,,,,,,,,2,3,1.0,9,49,,,54,83.4,397,476,,,16,,,,14,,,,30.0,3,10,,12,,,12,5,7,,6,2,,0,5.0,,,,,,,,2.0,,11,,,7.35,6.75,AFCON,CAF,CAF
