Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-WC_QUALS_UEFA-2022-9223752,Final,2021-03-24,Turquía,1,Países Bajos,4,2,,,8,5,2,1,0,,,,,,,,,,1.0,3,1.0,7,52,,,34,74.0,247,334,,,31,,,,12,,,,28.6,2,7,,15,,,11,8,3,,35,2,,0,7,,,,,,,,5.0,,18,,,,,20,9,6,5,1,,,,,,,,,,3.0,11,1.0,8,65,,,66,86.9,550,633,,,14,,,,18,,,,26.5,9,34,,7,,,7,3,4,,7,4,,0,1,,,,,,,,1.0,,12,,,7.07,6.51,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223737,Final,2021-03-24,Portugal,1,Azerbaiyán,1,0,,,29,14,8,7,0,,,,,,,,,,1.0,10,1.0,12,99,,,67,86.2,631,732,,,26,,,,10,,,,35.3,12,34,,15,,,11,6,5,,5,0,,1,0,,,,,,,,1.0,,9,,,,,4,0,2,2,0,,,,,,,,,,0.0,0,2.0,5,41,,,33,72.1,269,373,,,25,,,,8,,,,50.0,1,2,,21,,,22,12,10,,40,1,,0,14,,,,,,,,1.0,,11,,,7.31,7.09,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223726,Final,2021-03-24,Serbia,1,Irlanda,3,2,,,14,4,4,6,0,,,,,,,,,,2.0,9,4.0,9,40,,,56,84.8,407,480,,,29,,,,17,,,,26.1,6,23,,9,,,11,8,3,,15,2,,0,0,,,,,,,,1.0,,11,,,,,6,2,3,1,0,,,,,,,,,,1.0,6,0.0,5,52,,,44,78.6,297,378,,,20,,,,11,,,,14.8,4,27,,11,,,15,9,6,,26,3,,0,1,,,,,,,,0.0,,18,,,6.93,6.58,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223725,Final,2021-03-24,Finlandia,1,Bosnia,2,2,,,12,7,3,2,1,,,,,,,,,,4.0,5,0.0,10,43,,,44,83.8,366,437,,,25,,,,9,,,,22.2,2,9,,19,,,11,6,5,,23,2,,0,5,,,,,,,,3.0,,11,,,,,19,7,4,8,0,,,,,,,,,,5.0,7,3.0,4,58,,,56,87.2,475,545,,,32,,,,10,,,,14.3,4,28,,16,,,12,8,4,,10,2,,0,5,,,,,,,,0.0,,10,,,7.08,6.85,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223734,Final,2021-03-24,Francia,1,Ucrania,1,1,,,18,3,9,6,0,,,,,,,,,,2.0,12,6.0,16,85,,,63,91.6,722,788,,,16,,,,3,,,,21.2,7,33,,9,,,8,6,2,,2,1,,0,0,,,,,,,,1.0,,17,,,,,3,1,2,0,0,,,,,,,,,,0.0,0,0.0,7,36,,,37,82.6,388,470,,,16,,,,16,,,,,0,4,,11,,,18,11,7,,36,1,,0,2,,,,,,,,0.0,,3,,,6.86,6.89,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223746,Final,2021-03-24,Bélgica,1,Gales,3,1,,,12,4,5,3,0,,,,,,,,,,3.0,4,3.0,8,71,,,75,90.0,807,897,,,25,,,,3,,,,30.8,4,13,,4,,,9,7,2,,7,1,,0,0,,,,,,,,1.0,,12,,,,,4,1,3,0,0,,,,,,,,,,1.0,1,0.0,4,59,,,25,74.2,221,298,,,22,,,,11,,,,33.3,3,9,,25,,,13,11,2,,19,3,,0,1,,,,,,,,0.0,,3,,,7.05,6.67,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223748,Final,2021-03-24,Estonia,1,República Checa,2,6,,,6,3,2,1,1,,,,,,,,,,1.0,0,1.0,0,34,,,24,61.7,145,235,,,31,,,,13,,,,14.3,1,7,,16,,,13,7,6,,24,6,,0,2,,,,,,,,,,10,,,,,20,8,8,4,0,,,,,,,,,,3.0,6,3.0,12,83,,,76,89.2,646,724,,,33,,,,9,,,,27.6,8,29,,22,,,7,5,2,,2,2,,0,1,,,,,,,,,,14,,,6.09,7.66,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223756,Final,2021-03-24,Gibraltar,1,Noruega,0,3,,,1,0,0,1,0,,,,,,,,,,0.0,1,1.0,6,34,,,16,52.7,77,146,,,16,,,,15,,,,,0,5,,14,,,14,9,5,,40,3,,0,12,,,,,,,,3.0,,15,,,,,29,14,11,4,1,,,,,,,,,,7.0,14,0.0,16,105,,,84,87.8,663,755,,,14,,,,15,,,,23.3,7,30,,8,,,15,8,7,,4,0,,1,0,,,,,,,,1.0,,16,,,6.43,7.43,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223744,Final,2021-03-24,Letonia,1,Montenegro,1,2,,,12,6,4,2,0,,,,,,,,,,2.0,3,1.0,6,55,,,38,54.3,176,324,,,24,,,,13,,,,36.4,4,11,,15,,,16,9,7,,33,2,,0,4,,,,,,,,4.0,,18,,,,,27,7,16,4,0,,,,,,,,,,3.0,11,2.0,8,86,,,62,71.2,359,504,,,39,,,,16,,,,25.9,7,27,,7,,,16,9,7,,6,1,,0,3,,,,,,,,1.0,,13,,,6.83,7.23,Clasificatorias WC UEFA,UEFA,UEFA
SEL-WC_QUALS_UEFA-2022-9223773,Final,2021-03-24,Chipre,1,Eslovaquia,0,0,,,11,4,3,4,0,,,,,,,,,,2.0,3,0.0,10,61,,,40,70.7,273,386,,,27,,,,19,,,,50.0,5,10,,11,,,11,6,5,,10,0,,1,3,,,,,,,,2.0,,16,,,,,7,3,3,1,0,,,,,,,,,,2.0,1,3.0,6,73,,,60,79.1,458,579,,,28,,,,16,,,,22.2,2,9,,9,,,20,11,9,,5,0,,1,4,,,,,,,,0.0,,20,,,6.85,7.1,Clasificatorias WC UEFA,UEFA,UEFA
