Partido_id,Fase,Fecha,Equipo1,Es_Local_E1,Equipo2,EQUIPO1_GOLES,EQUIPO2_GOLES,Goles_dentro_area_E1,Goles_Fuera_Area_E1,Disparos_totales_E1,Disparos_a_puerta_E1,Disparos_fuera_E1,Disparo_Bloqueados_E1,Disparos_Al palo_E1,Disparos_Larguero_E1,Disparos_Poste_E1,Disparos_a_puerta_fuera_del_area_E1,Disparos_fuera_desde_fuera_del_area_E1,Asistencias_E1,Penaltis_marcados_E1,Penaltis_fallados_E1,Penaltis_forzados_E1,Ataques_E1,Oportunidades_claras_E1,Saques_de_esquina_sacados_E1,Fueras_de_juego_E1,Regates_E1,Ataques_tercio_ofensivo_E1,Ataques_zonas_clave_E1,Carreras_hacia_el_area_E1,Posesion_E1,Precision_pase_E1,Pases_completados_E1,Pases_realizados_E1,Pases_cortos_completados_E1,Pases_media_distancia_completados_E1,Pases_en_largo_completados_E1,Pases_completados_atras_E1,Pases_completadosa_izquierda_E1,Pases_completados_derecha_E1,Libres_directos_sacados_E1,Centros__tercio_ofensivo_E1,Pases_zonas_clave_E1,Pases_al_area_E1,Precision_en_el_centro_E1,Centros_completados_E1,Centros_realizados_E1,Tiempo_de_posesion_E1,Balones_recuperados_E1,Bloqueos_E1,Penaltis_cometidos_E1,Entradas_E1,Entradas_con_exito_E1,Entradas_perdidas_E1,Despejes_completados_E1,Despejes_realizados_E1,goles_encajados_E1,Goles_encajados_propia_puerta_E1,Porterias_a_cero_E1,Paradas_E1,Paradas_en_libres_directo_E1,Paradas-tras_libre_indirecto_E1,Penaltis_parados_E1,Balones_blocados_E1,Balones_blocados_por arriba_E1,Balones_blocados_por_abajo_E1,Despejes_de_puños_E1,Tarjetas_amarillas_E1,Tarjetas_rojas_E1,Faltas_cometidas_E1,Faltas_cometidas_tercio_def_E1,Faltas_cometidas_en_campo_propio_E1,Goles_dentro_area_E2,Goles_Fuera_Area_E2,Disparos_totales_E2,Disparos_a_puerta_E2,Disparos_fuera_E2,Disparo_Bloqueados_E2,Disparos_Al palo_E2,Disparos_Larguero_E2,Disparos_Poste_E2,Disparos_a_puerta_fuera_del_area_E2,Disparos_fuera_desde_fuera_del_area_E2,Asistencias_E2,Penaltis_marcados_E2,Penaltis_fallados_E2,Penaltis_forzados_E2,Ataques_E2,Oportunidades_claras_E2,Saques_de_esquina_sacados_E2,Fueras_de_juego_E2,Regates_E2,Ataques_tercio_ofensivo_E2,Ataques_zonas_clave_E2,Carreras_hacia_el_area_E2,Posesion_E2,Precision_pase_E2,Pases_completados_E2,Pases_realizados_E2,Pases_cortos_completados_E2,Pases_media_distancia_completados_E2,Pases_en_largo_completados_E2,Pases_completados_atras_E2,Pases_completadosa_izquierda_E2,Pases_completados_derecha_E2,Libres_directos_sacados_E2,Centros__tercio_ofensivo_E2,Pases_zonas_clave_E2,Pases_al_area_E2,Precision_en_el_centro_E2,Centros_completados_E2,Centros_realizados_E2,Tiempo_de_posesion_E2,Balones_recuperados_E2,Bloqueos_E2,Penaltis_cometidos_E2,Entradas_E2,Entradas_con_exito_E2,Entradas_perdidas_E2,Despejes_completados_E2,Despejes_realizados_E2,goles_encajados_E2,Goles_encajados_propia_puerta_E2,Porterias_a_cero_E2,Paradas_E2,Paradas_en_libres_directo_E2,Paradas-tras_libre_indirecto_E2,Penaltis_parados_E2,Balones_blocados_E2,Balones_blocados_por arriba_E2,Balones_blocados_por_abajo_E2,Despejes_de_puños_E2,Tarjetas_amarillas_E2,Tarjetas_rojas_E2,Faltas_cometidas_E2,Faltas_cometidas_tercio_def_E2,Faltas_cometidas_en_campo_propio_E2,media11_titular_E1,media11_titular_E2,Torneo,Confederacion_E1,Confederacion_E2
SEL-GOLD_CUP-2025-13755485,Ronda 1,2025-06-14,México,1,Dominican Republic,3,2,,,15,9,4,2,0,,,,,,,,,,4,5,1.0,6,62,,24,62,86.0,499,580,,,32,,,,12,,,,30.8,4,13,,7,,,20,14,6,,29,2,,0,3,,,,,,,1.0,2.0,,9,,,,,12,5,4,3,0,,,,,,,,,,1,2,2.0,10,43,,24,38,83.4,286,343,,,23,,,,9,,,,6.7,1,15,,8,,,15,14,1,,23,3,,0,5,,,,,,,0.0,3.0,,12,,,7.21,6.74,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2025-13755508,Ronda 1,2025-06-15,USA,1,Trinidad y Tobago,5,0,,,22,12,6,4,0,,,,,,,,,,8,10,3.0,9,41,,42,70,91.0,537,590,,,29,,,,9,,,,40.0,6,15,,7,,,16,11,5,,13,0,,1,2,,,,,,,,0.0,,10,,,,,3,2,0,1,0,,,,,,,,,,0,4,1.0,8,20,,4,30,79.6,203,255,,,7,,,,10,,,,,0,6,,9,,,12,7,5,,22,5,,0,7,,,,,,,,1.0,,9,,,7.83,6.09,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2025-13755509,Ronda 1,2025-06-15,Haití,1,Arabia Saudita,0,1,,,12,5,6,1,0,,,,,,,,,,0,11,7.0,7,55,,19,57,75.4,248,329,,,21,,,,13,,,,3.7,1,27,,11,,,22,16,6,,19,1,,0,3,,,,,,,0.0,4.0,,15,,,,,7,4,1,2,0,,,,,,,,,,2,1,4.0,3,52,,13,43,66.8,177,265,,,14,,,,14,,,,,0,0,,9,,,21,12,9,,38,0,,1,4,,,,,,,2.0,1.0,,13,,,6.95,6.95,CONCACAF Gold Cup,CONCACAF,AFC
SEL-GOLD_CUP-2025-13755493,Ronda 1,2025-06-15,Costa Rica,1,Suriname,4,3,,,19,9,3,7,0,,,,,,,,,,3,9,5.0,6,54,,18,53,81.5,287,352,,,37,,,,15,,,,10.3,3,29,,14,,,17,8,9,,14,3,,0,3,,,,,1.0,,,1.0,,17,,,,,9,6,2,1,1,,,,,,,,,,5,2,1.0,7,33,,16,47,80.4,266,331,,,20,,,,16,,,,25.0,2,8,,3,,,16,9,7,,46,4,,0,5,,,,,0.0,,,2.0,,17,,,6.87,6.77,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2025-13755502,Ronda 1,2025-06-16,Panamá,1,Guadeloupe,5,2,,,22,8,6,8,0,,,,,,,,,,8,6,2.0,6,62,,40,63,89.8,570,635,,,30,,,,7,,,,53.8,7,13,,5,,,17,13,4,,12,2,,0,4,,,,,0.0,,,1.0,,9,,,,,15,6,6,3,0,,,,,,,,,,2,2,3.0,1,38,,18,37,86.0,312,363,,,13,,,,8,,,,27.3,3,11,,11,,,16,9,7,,11,5,,0,2,,,,,2.0,,,0.0,,8,,,7.23,6.45,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2025-13755503,Ronda 1,2025-06-16,Jamaica,1,Guatemala,0,1,,,15,2,8,5,0,,,,,,,,,,1,2,0.0,11,62,,17,54,83.3,369,443,,,42,,,,15,,,,25.0,4,16,,6,,,17,8,9,,14,1,,0,3,,,,,0.0,,0.0,1.0,,11,,,,,11,4,3,4,0,,,,,,,,,,1,3,3.0,3,36,,13,46,83.5,313,375,,,15,,,,11,,,,30.0,3,10,,11,,,15,8,7,,21,0,,1,2,,,,,1.0,,1.0,0.0,,15,,,6.95,7.02,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2025-13755497,Ronda 1,2025-06-17,Curazao,1,El Salvador,0,0,,,6,3,2,1,1,,,,,,,,,,2,4,1.0,7,64,,12,60,83.4,382,458,,,16,,,,17,,,,10.0,1,10,,12,,,13,6,7,,27,0,,1,2,,,,,,,,2.0,,19,,,,,6,1,4,1,0,,,,,,,,,,0,3,2.0,5,49,,7,40,69.0,211,306,,,17,,,,19,,,,10.0,1,10,,11,,,25,17,8,,15,0,,1,3,,,,,,,,2.0,,17,,,6.85,6.91,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2025-13755496,Ronda 1,2025-06-17,Canadá,1,Honduras,6,0,,,20,8,10,2,0,,,,,,,,,,9,3,5.0,7,61,,30,54,80.8,332,411,,,21,,,,12,,,,40.0,6,15,,6,,,28,15,13,,18,0,,1,2,,,,,0.0,,,,,12,,,,,7,4,2,1,0,,,,,,,,,,3,3,0.0,6,52,,11,46,78.2,280,358,,,32,,,,12,,,,12.5,1,8,,10,,,18,11,7,,30,6,,0,2,,,,,1.0,,,,,12,,,7.82,6.06,CONCACAF Gold Cup,CONCACAF,CONCACAF
SEL-GOLD_CUP-2025-13755495,Ronda 2,2025-06-18,Costa Rica,1,Dominican Republic,2,1,,,13,6,4,3,0,,,,,,,,,,2,5,2.0,6,52,,23,51,81.3,300,369,,,23,,,,16,,,,22.7,5,22,,11,,,15,11,4,,40,1,,0,4,,,,,0.0,,1.0,4.0,,8,,,,,15,5,8,2,0,,,,,,,,,,2,6,2.0,6,59,,22,49,75.5,268,355,,,19,,,,8,,,,18.2,4,22,,8,,,23,14,9,,22,2,,0,4,,,,,1.0,,0.0,4.0,,17,,,7.28,6.89,CONCACAF Gold Cup,CONCACAF,Desconocido
SEL-GOLD_CUP-2025-13755487,Ronda 2,2025-06-18,Suriname,1,México,0,2,,,5,2,2,1,0,,,,,,,,,,1,3,1.0,8,37,,19,40,83.1,305,367,,,21,,,,18,,,,14.3,1,7,,13,,,15,5,10,,18,2,,0,4,,,,,2.0,,,0.0,,13,,,,,16,6,5,5,0,,,,,,,,,,3,5,1.0,9,68,,27,60,88.0,493,560,,,31,,,,13,,,,47.1,8,17,,13,,,27,16,11,,16,0,,1,2,,,,,0.0,,,1.0,,18,,,6.62,7.5,CONCACAF Gold Cup,Desconocido,CONCACAF
